Line	Event	Signal	Text
256785	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
256855	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
256938	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
257735	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
257805	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
257888	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
258872	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
258969	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
259052	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
259800	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
259893	C1-O2 OUTER BINDING	OUTSTANDING_TRUE	Outstanding: 1
260036	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
260936	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
260981	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
261064	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
261861	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
261931	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
262014	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
263041	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
263134	C1-O2 OUTER BINDING	OUTSTANDING_TRUE	Outstanding: 1
263277	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
264177	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
264247	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
264330	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
265127	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
265197	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
265280	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
266339	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
266432	C1-O2 OUTER BINDING	OUTSTANDING_TRUE	Outstanding: 1
266575	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
267423	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
267468	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
267551	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
268393	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
268463	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
268546	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
269404	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
269501	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
269584	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
271081	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
271126	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
271209	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
272222	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
272292	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
272375	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
273124	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
273169	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
273252	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
274056	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
274101	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
274184	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
