StartLine	EndLine	Event	SelectedFields
68397	68433	COMBATMOVE FULLSTOP STACK	ElapsedMs=208822.665 | Actor=PC_Hero | CurrentAction=5 | CurrentAniPhase=1 | CurrentStateTime=0.337925 | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P1_100_L.xmot
68434	68474	AISETSTATE CALLSITE	ElapsedMs=208822.753 | Actor=PC_Hero | CurrentAction=5 | CurrentAniPhase=1 | CurrentStateTime=0.337925 | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P1_100_L.xmot
68475	68499	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=208822.973 | Actor=PC_Hero | CurrentAction=5 | CurrentStateTime=0.337925
68500	68516	C1 CLEANUP FULFILLED	ElapsedMs=208823.047 | Actor=PC_Hero | Generation=76 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E71210 | ActualGroup=5 | PhysicalCollisionChanged=0
68517	68543	ENGINE SetCollisionGroup	ElapsedMs=208823.062 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=5 | PlayerAniPhase=1 | PlayerStateTime=0.000000 | PlayerCurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P1_100_L.xmot
68544	68566	NATIVE CLEANUP CALL SITE	ElapsedMs=208823.081 | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E71210 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
68567	68596	OUTER_FRAME CLEANUP	ElapsedMs=208823.107 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E71210 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=5 | CurrentStateTime=0.000000
68597	68641	C1 FINALIZATION	ElapsedMs=208823.130 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=76 | Status=PERSISTED | PhysicalCollisionChanged=1
68642	68666	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=208823.167 | Actor=PC_Hero | CurrentAction=5 | CurrentStateTime=0.000000
68667	68693	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=208896.308 | Actor=PC_Hero
68694	68718	PRIMARYFIRST PlayMotion	ElapsedMs=208896.306
68719	68758	AISETSTATE CALLSITE	ElapsedMs=209763.508 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.938959 | CurrentMovementAni=Hero_Stand_1H_1H_P1_Ambient_Loop_N_Fwd_00_%_00_P1_0.xmot
68759	68783	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=209763.578 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.938959
68784	68808	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=209763.601 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
68809	68848	AISETSTATE CALLSITE	ElapsedMs=209773.351 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_1H_1H_P1_Ambient_Loop_N_Fwd_00_%_00_P1_0.xmot
68849	68873	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=209773.425 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
68874	68898	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=209773.447 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
68899	68925	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=209783.355 | Actor=PC_Hero
68926	68950	PRIMARYFIRST PlayMotion	ElapsedMs=209783.353
68951	68990	AISETSTATE CALLSITE	ElapsedMs=211511.142 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.724891 | CurrentMovementAni=Hero_Parade_1H_1H_P1_Ambient_Loop_N_Fwd_00_%_00_P1_0.xmot
68991	69015	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=211511.268 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.724891
69016	69040	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=211511.292 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
69041	69062	C1 LIFECYCLE START	ElapsedMs=211521.076 | Actor=PC_Hero | Generation=77 | Status=CANDIDATE | PhysicalCollisionChanged=0
69063	69076	C1-O2 OUTER BINDING	ElapsedMs=211521.115 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=77 | Status=CANDIDATE | PhysicalCollisionChanged=0
69077	69101	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=211521.126 | Actor=PC_Hero | CurrentAction=4 | CurrentStateTime=0.000000
69102	69126	PRIMARYFIRST StopMotion	ElapsedMs=211529.610
69127	69159	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=211529.650 | Actor=PC_Hero
69160	69184	PRIMARYFIRST PlayMotion	ElapsedMs=211529.649
69185	69195	C1 LIFECYCLE STATUS	ElapsedMs=211529.783 | Event=PERSISTED | Actor=PC_Hero | Generation=77 | Status=PERSISTED | PhysicalCollisionChanged=0
69196	69224	MARKER OWNERSHIP DECISION	ElapsedMs=211529.814 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackR_Hit_N_Fwd_00_%_00_P1_100_R.xmot
69225	69243	G3AB_COL_RIGHT RECEIVED	ElapsedMs=211720.329 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackR_Hit_N_Fwd_00_%_00_P1_100_R.xmot
