StartLine	EndLine	Event	SelectedFields
23656	23682	ENGINE SetCollisionGroup	ElapsedMs=84635.443 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=1 | PlayerAniPhase=1 | PlayerStateTime=0.250001 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
23683	23702	C1-O2-P1 OFFENSE SCOPE	ElapsedMs=84635.496 | SourceAddress=E700FE10
23703	23732	OUTER_FRAME OFFENSE	ElapsedMs=84635.526 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | CurrentAction=1 | CurrentStateTime=0.250001
23733	23757	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=84887.918 | Actor=Golem | CurrentAction=2 | CurrentStateTime=0.000000
23758	23780	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=85135.961 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
23781	23804	HIT STARTRECOVER BEGIN STACK	ElapsedMs=85136.014 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=1 | CurrentStateTime=0.750980 | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
23805	23829	PRIMARYFIRST StopMotion	ElapsedMs=85136.065
23830	23856	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=85136.144 | Actor=PC_Hero
23857	23881	PRIMARYFIRST PlayMotion	ElapsedMs=85136.142
23882	23904	COMBATMOVE STARTRECOVER END	ElapsedMs=85136.221 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
23905	23921	C1 CLEANUP FULFILLED	ElapsedMs=85136.274 | Actor=PC_Hero | Generation=66 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | ActualGroup=5 | PhysicalCollisionChanged=0
23922	23948	ENGINE SetCollisionGroup	ElapsedMs=85136.289 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=1 | PlayerAniPhase=3 | PlayerStateTime=0.750980 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
23949	23969	NATIVE CLEANUP CALL SITE	ElapsedMs=85136.308 | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
23970	23999	OUTER_FRAME CLEANUP	ElapsedMs=85136.333 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=1 | CurrentStateTime=0.750980
24000	24039	AISETSTATE CALLSITE	ElapsedMs=85136.363 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=3 | CurrentStateTime=0.750980 | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
24040	24064	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=85136.403 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.750980
24065	24087	C1 FINALIZATION	ElapsedMs=85136.425 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=66 | Status=PERSISTED | PhysicalCollisionChanged=0
24088	24112	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=85136.446 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
