Line	Event	Signal	Text
1131	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=32649.461 Actor=Troll Generation=13 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=TrollFist Side=RIGHT Outstanding=0 Cleanup=1 Outcome=NO_OP_NO_OUTSTANDING Source[1]=TrollFist Side=LEFT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
1132	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=32766.373 Actor=PC_Hero Generation=15 Status=PERSISTED SourceCount=0 PhysicalChanged=0
1298	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE ONDAMAGE ElapsedMs=34512.634 Ordinal=10 Target=PC_Hero Arg1=PC_Hero Arg2=PC_Hero Caller=Game.dll+0x00069484 PlayerAction=0 PlayerPhase=5 PlayerMotion=Hero_Stand_None_None_P0_Ambient_Loop_N_Fwd_00_%_02_P0_0.xmot Raw8Fist=<none> Raw8UseType=-1 Raw8Group=-1
1315	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1 CLEANUP FULFILLED ElapsedMs=34609.456 Actor=Troll Generation=16 Status=PERSISTED Source=TrollFist Side=RIGHT Requests=2 Outstanding=0 CleanupObserved=1 Group=5
1316	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=34700.998 Actor=Troll Generation=16 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=TrollFist Side=RIGHT Outstanding=0 Cleanup=1 Outcome=NO_OP_NO_OUTSTANDING Source[1]=TrollFist Side=LEFT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
1317	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=34802.391 Actor=PC_Hero Generation=17 Status=PERSISTED SourceCount=0 PhysicalChanged=0
1400	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE ONDAMAGE ElapsedMs=36141.593 Ordinal=11 Target=PC_Hero Arg1=PC_Hero Arg2=PC_Hero Caller=Game.dll+0x00069484 PlayerAction=0 PlayerPhase=5 PlayerMotion=Hero_Stand_None_None_P0_Ambient_Loop_N_Fwd_02_%_00_P0_0.xmot Raw8Fist=<none> Raw8UseType=-1 Raw8Group=-1
1441	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=36430.380 Actor=PC_Hero Generation=19 Status=PERSISTED SourceCount=0 PhysicalChanged=0
1493	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE ONDAMAGE ElapsedMs=36593.782 Ordinal=12 Target=PC_Hero Arg1=PC_Hero Arg2=PC_Hero Caller=Game.dll+0x00069484 PlayerAction=0 PlayerPhase=3 PlayerMotion=Hero_Stand_None_None_P0_StumbleR_Recover_N_Back_00_%_00_P0_0.xmot Raw8Fist=<none> Raw8UseType=-1 Raw8Group=-1
1503	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1 CLEANUP FULFILLED ElapsedMs=36655.353 Actor=Troll Generation=18 Status=PERSISTED Source=TrollFist Side=RIGHT Requests=2 Outstanding=0 CleanupObserved=1 Group=5
