StartLine	EndLine	Event	SelectedFields
92149	92173	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=390465.486 | Actor=PC_Hero | CurrentAction=10 | CurrentStateTime=0.000000
92174	92198	PRIMARYFIRST StopMotion	ElapsedMs=390465.523
92199	92230	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=390465.547 | Actor=PC_Hero
92231	92255	PRIMARYFIRST PlayMotion	ElapsedMs=390465.546
92256	92266	C1 LIFECYCLE STATUS	ElapsedMs=390465.643 | Event=PERSISTED | Actor=PC_Hero | Generation=126 | Status=PERSISTED | PhysicalCollisionChanged=0
92267	92291	MARKER OWNERSHIP DECISION	ElapsedMs=390465.660 | Actor=PC_Hero | CurrentMovementAni=Hero_Parade_None_2H_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
92292	92318	ENGINE SetCollisionGroup	ElapsedMs=390579.986 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=10 | PlayerAniPhase=1 | PlayerStateTime=0.118997 | PlayerCurrentMovementAni=Hero_Parade_None_2H_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
92319	92363	AIFULLSTOP CALLSITE	ElapsedMs=390625.719 | Actor=PC_Hero | CurrentAction=10 | CurrentAniPhase=1 | CurrentStateTime=0.171007 | CurrentMovementAni=Hero_Parade_None_2H_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
92364	92401	COMBATMOVE FULLSTOP STACK	ElapsedMs=390625.802 | Actor=PC_Hero | CurrentAction=10 | CurrentAniPhase=1 | CurrentStateTime=0.171007 | CurrentMovementAni=Hero_Parade_None_2H_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
92402	92418	C1 LIFECYCLE START	ElapsedMs=390638.689 | Actor=PC_Hero | Generation=127 | Status=CANDIDATE | PhysicalCollisionChanged=0
92419	92432	C1-O2 OUTER BINDING	ElapsedMs=390638.718 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=127 | Status=CANDIDATE | PhysicalCollisionChanged=0
92433	92457	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=390638.730 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
92458	92482	PRIMARYFIRST StopMotion	ElapsedMs=390638.766
