StartLine	EndLine	Event	SelectedFields
317809	317835	ENGINE SetCollisionGroup	ElapsedMs=778162.162 | RequestedGroup=7 | BeforeGroup=7 | AfterGroup=7 | PlayerAction=0 | PlayerAniPhase=3 | PlayerStateTime=0.030999 | PlayerCurrentMovementAni=Hero_SitKnockDown_Shield_1H_P1_GetUpAttack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
317836	317880	AIFULLSTOP CALLSITE	ElapsedMs=778208.996 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=3 | CurrentStateTime=0.088994 | CurrentMovementAni=Hero_SitKnockDown_Shield_1H_P1_GetUpAttack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
317881	317902	C1 LIFECYCLE START	ElapsedMs=778224.726 | Actor=PC_Hero | Generation=955 | Status=CANDIDATE | PhysicalCollisionChanged=0
317903	317916	C1-O2 OUTER BINDING	ElapsedMs=778224.756 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=955 | Status=CANDIDATE | PhysicalCollisionChanged=0
317917	317941	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=778224.767 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
317942	317966	PRIMARYFIRST StopMotion	ElapsedMs=778224.803
317967	317998	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=778224.826 | Actor=PC_Hero
317999	318023	PRIMARYFIRST PlayMotion	ElapsedMs=778224.825
318024	318034	C1 LIFECYCLE STATUS	ElapsedMs=778224.918 | Event=PERSISTED | Actor=PC_Hero | Generation=955 | Status=PERSISTED | PhysicalCollisionChanged=0
318035	318079	AIFULLSTOP CALLSITE	ElapsedMs=778450.778 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=1 | CurrentStateTime=0.232005 | CurrentMovementAni=Hero_Stand_Shield_1H_P1_StumbleR_Hit_N_Back_00_%_00_P12_90.xmot
318080	318117	COMBATMOVE FULLSTOP STACK	ElapsedMs=778450.854 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=1 | CurrentStateTime=0.232005 | CurrentMovementAni=Hero_Stand_Shield_1H_P1_StumbleR_Hit_N_Back_00_%_00_P12_90.xmot
318118	318162	AIFULLSTOP CALLSITE	ElapsedMs=778451.438 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=1 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_Shield_1H_P1_StumbleR_Hit_N_Back_00_%_00_P12_90.xmot
318163	318189	ENGINE SetCollisionGroup	ElapsedMs=778451.648 | RequestedGroup=6 | BeforeGroup=7 | AfterGroup=6 | PlayerAction=26 | PlayerAniPhase=1 | PlayerStateTime=0.000000 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P1_StumbleR_Hit_N_Back_00_%_00_P12_90.xmot
318190	318211	C1 LIFECYCLE START	ElapsedMs=778474.840 | Actor=PC_Hero | Generation=956 | Status=CANDIDATE | PhysicalCollisionChanged=0
318212	318225	C1-O2 OUTER BINDING	ElapsedMs=778474.885 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=956 | Status=CANDIDATE | PhysicalCollisionChanged=0
318226	318250	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=778474.898 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
318251	318275	PRIMARYFIRST StopMotion	ElapsedMs=778474.934
318276	318307	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=778474.956 | Actor=PC_Hero
318308	318332	PRIMARYFIRST PlayMotion	ElapsedMs=778474.955
318333	318343	C1 LIFECYCLE STATUS	ElapsedMs=778475.039 | Event=PERSISTED | Actor=PC_Hero | Generation=956 | Status=PERSISTED | PhysicalCollisionChanged=0
318344	318370	ENGINE SetCollisionGroup	ElapsedMs=778507.739 | RequestedGroup=6 | BeforeGroup=7 | AfterGroup=6 | PlayerAction=26 | PlayerAniPhase=1 | PlayerStateTime=0.064945 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P2_StumbleR_Hit_N_Fwd_00_%_00_P1_100.xmot
318371	318397	ENGINE SetCollisionGroup	ElapsedMs=778545.794 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=26 | PlayerAniPhase=1 | PlayerStateTime=0.094960 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P2_StumbleR_Hit_N_Fwd_00_%_00_P1_100.xmot
318398	318424	ENGINE SetCollisionGroup	ElapsedMs=778648.851 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=26 | PlayerAniPhase=1 | PlayerStateTime=0.195959 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P2_StumbleR_Hit_N_Fwd_00_%_00_P1_100.xmot
318425	318450	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=778778.380 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Stand_Shield_1H_P2_StumbleR_Hit_N_Fwd_00_%_00_P1_100.xmot
318451	318475	PRIMARYFIRST StopMotion	ElapsedMs=778778.450
318476	318502	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=778778.474 | Actor=PC_Hero
318503	318527	PRIMARYFIRST PlayMotion	ElapsedMs=778778.473
