StartLine	EndLine	Event	SelectedFields
23791	23814	HIT STARTRECOVER BEGIN STACK	ElapsedMs=111573.882 | Actor=PC_Hero | CurrentAction=10 | CurrentAniPhase=1 | CurrentStateTime=0.805260 | CurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
23815	23839	PRIMARYFIRST StopMotion	ElapsedMs=111573.941
23840	23866	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=111573.969 | Actor=PC_Hero
23867	23891	PRIMARYFIRST PlayMotion	ElapsedMs=111573.968
23892	23914	COMBATMOVE STARTRECOVER END	ElapsedMs=111574.032 | Actor=PC_Hero | CurrentAction=10 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
23915	23931	C1 CLEANUP FULFILLED	ElapsedMs=111574.127 | Actor=PC_Hero | Generation=25 | Status=PERSISTED | Source=Wrestling Staff_BBM | SourceAddress=E6A90410 | ActualGroup=5 | PhysicalCollisionChanged=0
23932	23958	ENGINE SetCollisionGroup	ElapsedMs=111574.144 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=10 | PlayerAniPhase=3 | PlayerStateTime=0.805260 | PlayerCurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
23959	23979	NATIVE CLEANUP CALL SITE	ElapsedMs=111574.164 | Source=Wrestling Staff_BBM | SourceAddress=E6A90410 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
23980	24009	OUTER_FRAME CLEANUP	ElapsedMs=111574.186 | Actor=PC_Hero | Source=Wrestling Staff_BBM | SourceAddress=E6A90410 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=10 | CurrentStateTime=0.805260
24010	24049	AISETSTATE CALLSITE	ElapsedMs=111574.214 | Actor=PC_Hero | CurrentAction=10 | CurrentAniPhase=3 | CurrentStateTime=0.805260 | CurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
24050	24074	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=111574.254 | Actor=PC_Hero | CurrentAction=10 | CurrentStateTime=0.805260
24075	24101	C1 FINALIZATION	ElapsedMs=111574.277 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=25 | Status=PERSISTED | PhysicalCollisionChanged=0
24102	24126	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=111574.300 | Actor=PC_Hero | CurrentAction=10 | CurrentStateTime=0.000000
24127	24153	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=112386.461 | Actor=PC_Hero
24154	24178	PRIMARYFIRST PlayMotion	ElapsedMs=112386.458
24179	24205	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=114185.808 | Actor=PC_Hero
24206	24230	PRIMARYFIRST PlayMotion	ElapsedMs=114185.806
24231	24257	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=115990.547 | Actor=PC_Hero
24258	24282	PRIMARYFIRST PlayMotion	ElapsedMs=115990.544
24283	24309	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=117798.667 | Actor=PC_Hero
24310	24334	PRIMARYFIRST PlayMotion	ElapsedMs=117798.664
24335	24361	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=119600.465 | Actor=PC_Hero
24362	24386	PRIMARYFIRST PlayMotion	ElapsedMs=119600.463
24387	24426	AISETSTATE CALLSITE	ElapsedMs=120498.984 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=8.921211 | CurrentMovementAni=Hero_Stand_None_Staff_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
24427	24451	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=120499.091 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=8.921211
24452	24476	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=120499.117 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
24477	24516	AISETSTATE CALLSITE	ElapsedMs=120509.513 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_Staff_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
24517	24541	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=120509.609 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
24542	24566	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=120509.631 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
24567	24593	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=120519.002 | Actor=PC_Hero
24594	24618	PRIMARYFIRST PlayMotion	ElapsedMs=120519.000
24619	24645	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=122327.122 | Actor=PC_Hero
24646	24670	PRIMARYFIRST PlayMotion	ElapsedMs=122327.120
24671	24710	AISETSTATE CALLSITE	ElapsedMs=122544.773 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=2.025197 | CurrentMovementAni=Hero_Parade_None_Staff_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
24711	24735	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=122544.847 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=2.025197
24736	24760	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=122544.870 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
24761	24777	C1 LIFECYCLE START	ElapsedMs=122553.871 | Actor=PC_Hero | Generation=26 | Status=CANDIDATE | PhysicalCollisionChanged=0
24778	24791	C1-O2 OUTER BINDING	ElapsedMs=122553.906 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=26 | Status=CANDIDATE | PhysicalCollisionChanged=0
24792	24816	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=122553.918 | Actor=PC_Hero | CurrentAction=10 | CurrentStateTime=0.000000
24817	24841	PRIMARYFIRST StopMotion	ElapsedMs=122553.955
24842	24874	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=122553.986 | Actor=PC_Hero
24875	24899	PRIMARYFIRST PlayMotion	ElapsedMs=122553.985
