StartLine	EndLine	Event	SelectedFields
1630	1654	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=30541.510 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.218093
1655	1679	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=30541.537 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
1680	1696	C1 LIFECYCLE START	ElapsedMs=30550.973 | Actor=PC_Hero | Generation=2 | Status=CANDIDATE | PhysicalCollisionChanged=0
1697	1710	C1-O2 OUTER BINDING	ElapsedMs=30551.006 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=2 | Status=CANDIDATE | PhysicalCollisionChanged=0
1711	1735	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=30551.018 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
1736	1760	PRIMARYFIRST StopMotion	ElapsedMs=30551.363
1761	1793	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=30551.392 | Actor=PC_Hero
1794	1818	PRIMARYFIRST PlayMotion	ElapsedMs=30551.391
1819	1829	C1 LIFECYCLE STATUS	ElapsedMs=30551.493 | Event=PERSISTED | Actor=PC_Hero | Generation=2 | Status=PERSISTED | PhysicalCollisionChanged=0
1830	1854	MARKER OWNERSHIP DECISION	ElapsedMs=30551.511 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
1855	1871	C1 OFFENSE REQUEST	ElapsedMs=30850.904 | Actor=PC_Hero | Generation=2 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | ActualGroup=7 | PhysicalCollisionChanged=0
1872	1898	ENGINE SetCollisionGroup	ElapsedMs=30850.938 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=1 | PlayerAniPhase=1 | PlayerStateTime=0.266805 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
1899	1918	C1-O2-P1 OFFENSE SCOPE	ElapsedMs=30850.961 | SourceAddress=E70E8610
